# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
171 0.343956437 0.902703966 -0.244289418 0.084511531 0.518976870 9.014533460 20.648349952 171 The_Tree-119.jpg

172 -0.105487363 -0.098819498 -0.671170436 0.727074528 0.208654610 4.872051209 12.261120244 172 The_Tree-12.jpg

173 0.261922611 0.790653387 0.522626672 -0.182003100 -0.117012968 7.803493479 23.244370771 173 The_Tree-120.jpg

174 0.234197715 0.710852769 0.626755158 -0.216835752 -0.686458095 8.072143358 23.078027494 174 The_Tree-121.jpg

175 0.199716058 0.513129909 0.773892250 -0.312892919 -0.537356890 10.177425959 22.253138081 175 The_Tree-122.jpg

176 0.193395383 0.577771568 0.748589729 -0.261517989 -0.503311666 8.155031295 22.968479825 176 The_Tree-123.jpg

177 0.328079729 0.860682838 -0.366730121 0.130758414 0.937727871 8.907316806 20.710791568 177 The_Tree-124.jpg

178 0.283901299 0.740417860 -0.571896513 0.210037672 0.868904790 8.809056121 20.765760845 178 The_Tree-125.jpg

179 0.131792515 0.169764230 0.756450075 -0.617733051 -0.603308848 10.035760694 23.788342631 179 The_Tree-126.jpg

180 -0.100242763 -0.232288194 0.898940334 -0.357630899 0.742471357 8.639570112 23.441005859 180 The_Tree-127.jpg

181 0.350951754 0.922992086 -0.150280715 0.048313387 0.401987727 9.048895657 20.600804784 181 The_Tree-128.jpg

182 0.274675899 0.827648121 0.461897843 -0.161870691 -0.039243081 8.168036013 22.991217526 182 The_Tree-129.jpg

183 0.317517378 0.276991282 -0.603445010 0.676987935 0.652890710 6.372839675 13.872899096 183 The_Tree-13.jpg

184 0.106200315 0.140572961 0.762033227 -0.623110019 -0.543255956 10.118211029 23.939979862 184 The_Tree-130.jpg

185 0.185044477 0.518952228 0.782472396 -0.290144923 0.035940523 9.011420985 22.698505354 185 The_Tree-131.jpg

186 0.198903761 0.609679115 0.726468345 -0.246925930 -0.264564458 7.922439679 23.065294042 186 The_Tree-132.jpg

187 0.340072575 0.892045600 -0.281040912 0.098088208 0.942041575 8.984487283 20.669112964 187 The_Tree-133.jpg

188 0.307351772 0.803002947 -0.479846950 0.174551023 1.497362156 8.865117149 20.701706769 188 The_Tree-134.jpg

189 0.640195726 0.766542468 0.037371830 -0.034138282 -0.776219005 9.907631530 23.629978670 189 The_Tree-135.jpg

190 0.313357394 0.821082971 -0.448499793 0.162720109 1.245448000 8.915009590 20.686640837 190 The_Tree-136.jpg

191 0.702892661 0.703392385 -0.080163739 0.068955313 4.528362061 11.191564980 -35.019258565 191 The_Tree-137.jpg

192 -0.242862105 -0.503628191 0.751532942 -0.350106955 1.834038802 11.317559146 20.055584178 192 The_Tree-138.jpg

193 -0.111082322 -0.224396341 0.880073378 -0.403457370 0.337173474 9.881800749 22.691781381 193 The_Tree-139.jpg

194 0.316678665 0.277059287 -0.603406254 0.677387383 0.492551901 6.373394381 13.654027904 194 The_Tree-14.jpg

195 -0.060906588 -0.109181342 0.885283808 -0.447931245 0.821573430 11.475712790 22.018452030 195 The_Tree-140.jpg

196 -0.015326926 -0.017399918 0.891817246 -0.451801203 -0.406864679 10.565067829 23.394799642 196 The_Tree-141.jpg

197 -0.099137620 -0.186036194 0.876029229 -0.433745383 0.192737006 11.202089467 22.020676614 197 The_Tree-142.jpg

198 0.756765244 0.653433606 0.009818967 -0.015312565 0.012066885 6.231564491 12.777554511 198 The_Tree-143.jpg

199 0.531998423 0.468765243 0.465051556 -0.530060256 -0.409377704 5.789665553 12.938659802 199 The_Tree-144.jpg

200 0.086706642 0.080297973 -0.674618337 0.728645519 0.419735974 4.822913386 11.990753079 200 The_Tree-145.jpg

201 -0.450026425 -0.397862976 -0.527448745 0.600815355 -0.040783527 5.741033451 12.880049525 201 The_Tree-146.jpg

202 -0.420785486 -0.371769337 -0.546270115 0.621543318 -0.087065512 5.724820748 12.900048444 202 The_Tree-147.jpg

203 -0.278725629 -0.250444576 -0.616363823 0.692593081 0.490747074 5.426804081 12.867526043 203 The_Tree-148.jpg

